inputLength,outputLength,sAlgorithm,buffersize,time

16192, 0, SHA-1, 1, 84
16192, 0, SHA-1, 2, 1
16192, 0, SHA-1, 4, 12
16192, 0, SHA-1, 8, 1
16192, 0, SHA-1, 16, 3
16192, 0, SHA-1, 32, 5
16192, 0, SHA-1, 64, 42
16192, 0, SHA-1, 128, 8
16192, 0, SHA-1, 256, 3
16192, 0, SHA-1, 512, 4
16192, 0, SHA-1, 1024, 8
16192, 0, SHA-1, 2048, 19
16192, 0, SHA-1, 4096, 31
16192, 0, SHA-1, 8192, 51
16192, 0, SHA-1, 16384, 121
16192, 0, SHA-1, 32768, 374
16192, 0, SHA-1, 65536, 274
16192, 0, SHA-1, 131072, 211
16192, 0, SHA-1, 262144, 163
16192, 0, SHA-1, 524288, 230
16192, 0, SHA-1, 1048576, 470
16192, 0, SHA-1, 2097152, 870
16192, 0, SHA-1, 4194304, 1704
16192, 0, SHA-1, 8388608, 3453
16192, 0, SHA-1, 16777216, 6867
16192, 0, SHA-1, 33554432, 13990
16192, 0, SHA-1, 67108864, 27931
16192, 0, SHA-224, 1, 0
16192, 0, SHA-224, 2, 0
16192, 0, SHA-224, 4, 0
16192, 0, SHA-224, 8, 0
16192, 0, SHA-224, 16, 0
16192, 0, SHA-224, 32, 0
16192, 0, SHA-224, 64, 0
16192, 0, SHA-224, 128, 0
16192, 0, SHA-224, 256, 0
16192, 0, SHA-224, 512, 0
16192, 0, SHA-224, 1024, 0
16192, 0, SHA-224, 2048, 0
16192, 0, SHA-224, 4096, 16
16192, 0, SHA-224, 8192, 0
16192, 0, SHA-224, 16384, 15
16192, 0, SHA-224, 32768, 18
16192, 0, SHA-224, 65536, 20
16192, 0, SHA-224, 131072, 62
16192, 0, SHA-224, 262144, 119
16192, 0, SHA-224, 524288, 219
16192, 0, SHA-224, 1048576, 462
16192, 0, SHA-224, 2097152, 871
16192, 0, SHA-224, 4194304, 1773
16192, 0, SHA-224, 8388608, 3455
16192, 0, SHA-224, 16777216, 7057
16192, 0, SHA-224, 33554432, 13781
16192, 0, SHA-224, 67108864, 27725
16192, 0, SHA-256, 1, 0
16192, 0, SHA-256, 2, 0
16192, 0, SHA-256, 4, 0
16192, 0, SHA-256, 8, 0
16192, 0, SHA-256, 16, 0
16192, 0, SHA-256, 32, 0
16192, 0, SHA-256, 64, 0
16192, 0, SHA-256, 128, 0
16192, 0, SHA-256, 256, 0
16192, 0, SHA-256, 512, 0
16192, 0, SHA-256, 1024, 0
16192, 0, SHA-256, 2048, 0
16192, 0, SHA-256, 4096, 0
16192, 0, SHA-256, 8192, 0
16192, 0, SHA-256, 16384, 0
