sAlgorithm,inputLength,outputLength,buffersize,time
 SHA-1,16192,0,1,197
 SHA-1,16192,0,2,4
 SHA-1,16192,0,4,4
 SHA-1,16192,0,8,2
 SHA-1,16192,0,16,1
 SHA-1,16192,0,32,5
 SHA-1,16192,0,64,11
 SHA-1,16192,0,128,3
 SHA-1,16192,0,256,6
 SHA-1,16192,0,512,11
 SHA-1,16192,0,1024,8
 SHA-1,16192,0,2048,35
 SHA-1,16192,0,4096,42
 SHA-1,16192,0,8192,120
 SHA-1,16192,0,16384,175
 SHA-1,16192,0,32768,319
 SHA-1,16192,0,65536,33
 SHA-1,16192,0,131072,147
 SHA-1,16192,0,262144,179
 SHA-1,16192,0,524288,273
 SHA-1,16192,0,1048576,480
 SHA-1,16192,0,2097152,949
 SHA-1,16192,0,4194304,1842
 SHA-1,16192,0,8388608,3654
 SHA-1,16192,0,16777216,8318
 SHA-1,16192,0,33554432,16122
 SHA-1,16192,0,67108864,30003
 SHA-224,16192,0,1,1
 SHA-224,16192,0,2,0
 SHA-224,16192,0,4,1
 SHA-224,16192,0,8,1
 SHA-224,16192,0,16,0
 SHA-224,16192,0,32,1
 SHA-224,16192,0,64,0
 SHA-224,16192,0,128,0
 SHA-224,16192,0,256,0
 SHA-224,16192,0,512,5
 SHA-224,16192,0,1024,0
 SHA-224,16192,0,2048,5
 SHA-224,16192,0,4096,0
 SHA-224,16192,0,8192,5
 SHA-224,16192,0,16384,10
 SHA-224,16192,0,32768,20
 SHA-224,16192,0,65536,30
 SHA-224,16192,0,131072,59
 SHA-224,16192,0,262144,125
 SHA-224,16192,0,524288,235
 SHA-224,16192,0,1048576,475
 SHA-224,16192,0,2097152,966
 SHA-224,16192,0,4194304,1869
 SHA-224,16192,0,8388608,3735
 SHA-224,16192,0,16777216,7453
 SHA-224,16192,0,33554432,14860
 SHA-224,16192,0,67108864,29763
 SHA-256,16192,0,1,0
 SHA-256,16192,0,2,0
 SHA-256,16192,0,4,0
 SHA-256,16192,0,8,0
 SHA-256,16192,0,16,0
 SHA-256,16192,0,32,5
 SHA-256,16192,0,64,0
 SHA-256,16192,0,128,0
