SUMMARY OUTPUT,,,,,,,,
,,,,,,,,
Regression Statistics,,,,,,,,
Multiple R,0.954190606,,,,,,,
R Square,0.910479713,,,,,,,
Adjusted R Square,0.890859556,,,,,,,
Standard Error,451.1175639,,,,,,,
Observations,153,,,,,,,
,,,,,,,,
ANOVA,,,,,,,,
,df,SS,MS,F,Significance F,,,
Regression,11,295981331.9,26907393.81,161.6003652,3.93514E-74,,,
Residual,143,29101509.07,203507.0565,,,,,
Total,154,325082840.9,,,,,,
,,,,,,,,
,Coefficients,Standard Error,t Stat,P-value,Lower 95%,Upper 95%,Lower 90.0%,Upper 90.0%
Intercept,666.3497121,167.5873556,3.97613358,0.000110789,335.0810939,997.6183304,388.8955815,943.8038427
inputLength,1.01969E-05,2.70463E-07,37.70166958,3.58402E-76,9.6623E-06,1.07315E-05,9.74915E-06,1.06447E-05
outputLength,-6.973262032,1.758318726,-3.965869173,0.000115171,-10.44891694,-3.497607125,-9.884297842,-4.062226222
buffersize (Bytes),0,0,65535,#NUM!,0,0,0,0
SHA-224,-329.8983957,142.7598887,-2.310861957,#NUM!,-612.0907539,-47.70603757,-566.24869,-93.54810149
SHA-256,-283.5240642,138.5394488,-2.046522248,0.042536764,-557.3739118,-9.67421659,-512.8870862,-54.16104217
SHA-384,-219.7914439,135.6528938,-1.620248841,0.107381974,-487.9354606,48.35257286,-444.3755455,4.792657798
SHA-512,0,0,65535,#NUM!,0,0,0,0
SHA3-224,-350.5454545,142.7598887,-2.455489828,#NUM!,-632.7378127,-68.35309639,-586.8957488,-114.1951603
SHA3-256,-268.3475936,138.5394488,-1.936976045,0.054719828,-542.1974412,5.502253998,-497.7106156,-38.98457158
SHA3-384,89.56149733,135.6528938,0.660225483,0.510171207,-178.5825194,357.705514,-135.0226043,314.145599
SHA3-512,577.8823529,154.7320479,3.734729559,0.000270683,272.0247211,883.7399848,321.7112016,834.0535042
,,,,,,,,
,,,,,,,,
,,,,,,,,
RESIDUAL OUTPUT,,,,PROBABILITY OUTPUT,,,,
,,,,,,,,
Observation,Predicted time (ms),Residuals,,Percentile,time (ms),,,
1,387.5843394,-322.5843394,,0.326797386,0,,,
2,-53.88624886,60.88624886,,0.980392157,0,,,
3,-63.29801357,72.29801357,,1.633986928,0,,,
4,-222.7097783,229.7097783,,2.287581699,0,,,
5,-226.0627195,230.0627195,,2.941176471,0,,,
6,-74.53330769,79.53330769,,3.594771242,1,,,
7,-48.12154298,52.12154298,,4.248366013,1,,,
8,86.6431629,-73.6431629,,4.901960784,1,,,
9,351.8196335,-309.8196335,,5.555555556,2,,,
10,387.6668936,-366.6668936,,6.209150327,2,,,
11,-53.8036946,56.8036946,,6.862745098,2,,,
12,-63.21545931,64.21545931,,7.516339869,2,,,
13,-222.627224,224.627224,,8.169934641,2,,,
14,-225.9801652,227.9801652,,8.823529412,2,,,
15,-74.45075343,75.45075343,,9.477124183,2,,,
16,-48.03898872,50.03898872,,10.13071895,2,,,
17,86.72571716,-84.72571716,,10.78431373,2,,,
18,351.9021878,-349.9021878,,11.4379085,3,,,
19,387.8320022,-340.8320022,,12.09150327,3,,,
20,-53.63858608,56.63858608,,12.74509804,3,,,
21,-63.05035078,65.05035078,,13.39869281,3,,,
22,-222.4621155,281.4621155,,14.05228758,3,,,
23,-225.8150567,228.8150567,,14.70588235,3,,,
24,-74.2856449,92.2856449,,15.35947712,3,,,
25,-47.8738802,50.8738802,,16.0130719,3,,,
26,86.89082569,-83.89082569,,16.66666667,3,,,
27,352.0672963,-350.0672963,,17.32026144,3,,,
28,388.1622192,-301.1622192,,17.97385621,4,,,
29,-53.30836903,65.30836903,,18.62745098,4,,,
30,-62.72013374,64.72013374,,19.28104575,4,,,
31,-222.1318984,237.1318984,,19.93464052,4,,,
32,-225.4848396,229.4848396,,20.58823529,4,,,
33,-73.95542785,75.95542785,,21.24183007,5,,,
34,-47.54366315,48.54366315,,21.89542484,5,,,
35,87.22104273,-84.22104273,,22.54901961,5,,,
36,352.3975133,-349.3975133,,23.20261438,5,,,
37,388.8226533,-347.8226533,,23.85620915,5,,,
38,-52.64793494,55.64793494,,24.50980392,5,,,
39,-62.05969964,67.05969964,,25.16339869,6,,,
40,-221.4714643,232.4714643,,25.81699346,7,,,
41,-224.8244055,229.8244055,,26.47058824,7,,,
42,-73.29499376,76.29499376,,27.12418301,9,,,
43,-46.88322905,58.88322905,,27.77777778,9,,,
44,87.88147683,-82.88147683,,28.43137255,9,,,
45,353.0579474,-348.0579474,,29.08496732,9,,,
46,390.1435215,-353.1435215,,29.73856209,11,,,
47,-51.32706675,55.32706675,,30.39215686,12,,,
48,-60.73883145,65.73883145,,31.04575163,12,,,
49,-220.1505962,229.1505962,,31.69934641,13,,,
50,-223.5035373,232.5035373,,32.35294118,15,,,
51,-71.97412557,74.97412557,,33.00653595,15,,,
52,-45.56236086,54.56236086,,33.66013072,15,,,
53,89.20234502,-85.20234502,,34.31372549,15,,,
54,354.3788156,-348.3788156,,34.96732026,16,,,
55,392.7852579,-327.7852579,,35.62091503,16,,,
56,-48.68533037,63.68533037,,36.2745098,16,,,
57,-58.09709507,58.09709507,,36.92810458,16,,,
58,-217.5088598,233.5088598,,37.58169935,16,,,
59,-220.861801,220.861801,,38.23529412,18,,,
60,-69.33238919,69.33238919,,38.88888889,21,,,
61,-42.92062449,64.92062449,,39.54248366,22,,,
62,91.8440814,-76.8440814,,40.19607843,22,,,
63,357.020552,-357.020552,,40.8496732,22,,,
64,398.0687306,-351.0687306,,41.50326797,26,,,
65,-43.40185761,59.40185761,,42.15686275,28,,,
66,-52.81362232,74.81362232,,42.81045752,29,,,
67,-212.225387,212.225387,,43.46405229,31,,,
68,-215.5783282,277.5783282,,44.11764706,31,,,
69,-64.04891643,107.0489164,,44.77124183,32,,,
70,-37.63715173,66.63715173,,45.4248366,32,,,
71,97.12755415,-69.12755415,,46.07843137,37,,,
72,362.3040247,-336.3040247,,46.73202614,37,,,
73,408.6356761,-350.6356761,,47.38562092,38,,,
74,-32.8349121,48.8349121,,48.03921569,38,,,
75,-42.2466768,73.2466768,,48.69281046,41,,,
76,-201.6584415,223.6584415,,49.34640523,42,,,
77,-205.0113827,221.0113827,,50,43,,,
78,-53.48197092,69.48197092,,50.65359477,46,,,
79,-27.07020621,42.07020621,,51.30718954,47,,,
80,107.6944997,-75.69449967,,51.96078431,47,,,
81,372.8709703,-335.8709703,,52.61437908,47,,,
82,429.7695672,-328.7695672,,53.26797386,53,,,
83,-11.70102107,57.70102107,,53.92156863,53,,,
84,-21.11278577,59.11278577,,54.5751634,58,,,
85,-180.5245505,211.5245505,,55.22875817,59,,,
86,-183.8774917,215.8774917,,55.88235294,62,,,
87,-32.34807989,85.34807989,,56.53594771,62,,,
88,-5.936315184,52.93631518,,57.18954248,63,,,
89,128.8283907,-90.8283907,,57.84313725,65,,,
90,394.0048613,-331.0048613,,58.49673203,65,,,
91,472.0373492,-419.0373492,,59.1503268,69,,,
92,30.56676099,54.43323901,,59.80392157,84,,,
93,21.15499629,63.84500371,,60.45751634,85,,,
94,-138.2567684,200.2567684,,61.11111111,85,,,
95,-141.6097096,210.6097096,,61.76470588,85,,,
96,9.919702171,75.08029783,,62.41830065,87,,,
97,36.33146688,47.66853312,,63.07189542,101,,,
98,171.0961728,-70.09617276,,63.7254902,101,,,
99,436.2726433,-305.2726433,,64.37908497,116,,,
100,556.5729133,-286.5729133,,65.03267974,116,,,
101,115.1023251,46.89767489,,65.68627451,131,,,
102,105.6905604,48.30943959,,66.33986928,154,,,
103,-53.7212043,169.7212043,,66.99346405,154,,,
104,-57.07414547,173.0741455,,67.64705882,162,,,
105,94.45526629,59.54473371,,68.30065359,169,,,
106,120.867031,48.132969,,68.95424837,200,,,
107,255.6317369,-55.63173688,,69.60784314,216,,,
108,520.8082075,-241.8082075,,70.26143791,225,,,
109,725.6440416,-141.6440416,,70.91503268,270,,,
110,284.1734534,32.82654664,,71.56862745,279,,,
111,274.7616886,58.23831135,,72.22222222,300,,,
112,115.3499239,109.6500761,,72.87581699,301,,,
113,111.9969828,104.0030172,,73.52941176,317,,,
114,263.5263945,36.47360547,,74.18300654,333,,,
115,289.9381592,11.06184076,,74.83660131,401,,,
116,424.7028651,-23.70286512,,75.49019608,433,,,
117,689.8793357,-151.8793357,,76.14379085,438,,,
118,1063.786298,237.2137019,,76.79738562,538,,,
119,622.3157098,41.68429016,,77.45098039,584,,,
120,612.9039451,3.096054869,,78.10457516,601,,,
121,453.4921804,-15.49218042,,78.75816993,616,,,
