inputLength,outputLength,sAlgorithm,buffersize,time

16192, 40, SHA-1, 0, 65
16192, 56, SHA-224, 0, 7
16192, 64, SHA-256, 0, 9
16192, 96, SHA-384, 0, 7
16192, 128, SHA-512, 0, 4
16192, 56, SHA3-224, 0, 5
16192, 64, SHA3-256, 0, 4
16192, 96, SHA3-384, 0, 13
16192, 128, SHA3-512, 0, 42
24288, 40, SHA-1, 0, 21
24288, 56, SHA-224, 0, 3
24288, 64, SHA-256, 0, 1
24288, 96, SHA-384, 0, 2
24288, 128, SHA-512, 0, 2
24288, 56, SHA3-224, 0, 1
24288, 64, SHA3-256, 0, 2
24288, 96, SHA3-384, 0, 2
24288, 128, SHA3-512, 0, 2
40480, 40, SHA-1, 0, 47
40480, 56, SHA-224, 0, 3
40480, 64, SHA-256, 0, 2
40480, 96, SHA-384, 0, 59
40480, 128, SHA-512, 0, 3
40480, 56, SHA3-224, 0, 18
40480, 64, SHA3-256, 0, 3
40480, 96, SHA3-384, 0, 3
40480, 128, SHA3-512, 0, 2
72864, 40, SHA-1, 0, 87
72864, 56, SHA-224, 0, 12
72864, 64, SHA-256, 0, 2
72864, 96, SHA-384, 0, 15
72864, 128, SHA-512, 0, 4
72864, 56, SHA3-224, 0, 2
72864, 64, SHA3-256, 0, 1
72864, 96, SHA3-384, 0, 3
72864, 128, SHA3-512, 0, 3
137632, 40, SHA-1, 0, 41
137632, 56, SHA-224, 0, 3
137632, 64, SHA-256, 0, 5
137632, 96, SHA-384, 0, 11
137632, 128, SHA-512, 0, 5
137632, 56, SHA3-224, 0, 3
137632, 64, SHA3-256, 0, 12
137632, 96, SHA3-384, 0, 5
137632, 128, SHA3-512, 0, 5
267168, 40, SHA-1, 0, 37
267168, 56, SHA-224, 0, 4
267168, 64, SHA-256, 0, 5
267168, 96, SHA-384, 0, 9
267168, 128, SHA-512, 0, 9
267168, 56, SHA3-224, 0, 3
267168, 64, SHA3-256, 0, 9
267168, 96, SHA3-384, 0, 4
267168, 128, SHA3-512, 0, 6
526240, 40, SHA-1, 0, 65
526240, 56, SHA-224, 0, 15
526240, 64, SHA-256, 0, 0
526240, 96, SHA-384, 0, 16
526240, 128, SHA-512, 0, 0
526240, 56, SHA3-224, 0, 0
526240, 64, SHA3-256, 0, 22
526240, 96, SHA3-384, 0, 15
526240, 128, SHA3-512, 0, 0
1044384, 40, SHA-1, 0, 47
1044384, 56, SHA-224, 0, 16
1044384, 64, SHA-256, 0, 22
1044384, 96, SHA-384, 0, 0
1044384, 128, SHA-512, 0, 62
1044384, 56, SHA3-224, 0, 43
1044384, 64, SHA3-256, 0, 29
1044384, 96, SHA3-384, 0, 28
1044384, 128, SHA3-512, 0, 26
2080672, 40, SHA-1, 0, 58
2080672, 56, SHA-224, 0, 16
2080672, 64, SHA-256, 0, 31
2080672, 96, SHA-384, 0, 22
2080672, 128, SHA-512, 0, 16
2080672, 56, SHA3-224, 0, 16
2080672, 64, SHA3-256, 0, 15
2080672, 96, SHA3-384, 0, 32
2080672, 128, SHA3-512, 0, 37
4153248, 40, SHA-1, 0, 101
4153248, 56, SHA-224, 0, 46
4153248, 64, SHA-256, 0, 38
4153248, 96, SHA-384, 0, 31
4153248, 128, SHA-512, 0, 32
4153248, 56, SHA3-224, 0, 53
4153248, 64, SHA3-256, 0, 47
4153248, 96, SHA3-384, 0, 38
4153248, 128, SHA3-512, 0, 63
8298400, 40, SHA-1, 0, 53
8298400, 56, SHA-224, 0, 85
8298400, 64, SHA-256, 0, 85
8298400, 96, SHA-384, 0, 62
8298400, 128, SHA-512, 0, 69
8298400, 56, SHA3-224, 0, 85
8298400, 64, SHA3-256, 0, 84
8298400, 96, SHA3-384, 0, 101
8298400, 128, SHA3-512, 0, 131
16588704, 40, SHA-1, 0, 270
16588704, 56, SHA-224, 0, 162
16588704, 64, SHA-256, 0, 154
16588704, 96, SHA-384, 0, 116
16588704, 128, SHA-512, 0, 116
16588704, 56, SHA3-224, 0, 154
16588704, 64, SHA3-256, 0, 169
16588704, 96, SHA3-384, 0, 200
16588704, 128, SHA3-512, 0, 279
33169312, 40, SHA-1, 0, 584
33169312, 56, SHA-224, 0, 317
33169312, 64, SHA-256, 0, 333
33169312, 96, SHA-384, 0, 225
33169312, 128, SHA-512, 0, 216
33169312, 56, SHA3-224, 0, 300
33169312, 64, SHA3-256, 0, 301
33169312, 96, SHA3-384, 0, 401
33169312, 128, SHA3-512, 0, 538
66330528, 40, SHA-1, 0, 1301
